0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 32 9 23
rd algo size: 0 20 
rd algo size: 0 52 
rd algo size: 4 0 
rd algo size: 4 0 
algo only 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 36
1.32 who accel 0 1b
hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
699,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
700,0,0,0,0,0,3,
701,0,0,0,0,0,3,
701,0,0,0,0,0,3,
701,0,0,0,0,0,3,
701,0,0,0,0,0,3,
701,0,0,0,0,0,3,
703,0,0,0,0,0,3,
703,0,0,0,0,0,3,
703,0,0,0,0,0,3,
703,0,0,0,0,0,3,
703,0,0,0,0,0,3,
704,0,0,0,0,0,3,
704,0,0,0,0,0,3,
704,0,0,0,0,0,3,
704,0,0,0,0,0,3,
704,0,0,0,0,0,3,
705,0,0,0,0,0,3,
705,0,0,0,0,0,3,
705,0,0,0,0,0,3,
705,0,0,0,0,0,3,
705,0,0,0,0,0,3,
706,0,0,0,0,0,3,
706,0,0,0,0,0,3,
706,0,0,0,0,0,3,
706,0,0,0,0,0,3,
706,0,0,0,0,0,3,
709,0,0,0,0,0,3,
709,0,0,0,0,0,3,
709,0,0,0,0,0,3,
709,0,0,0,0,0,3,
709,0,0,0,0,0,3,
712,0,0,0,0,0,3,
712,0,0,0,0,0,3,
712,0,0,0,0,0,3,
712,0,0,0,0,0,3,
712,0,0,0,0,0,3,
715,0,0,0,0,0,3,
715,0,0,0,0,0,3,
715,0,0,0,0,0,3,
715,0,0,0,0,0,3,
715,0,0,0,0,0,3,
718,0,0,0,0,0,3,
718,0,0,0,0,0,3,
718,0,0,0,0,0,3,
718,0,0,0,0,0,3,
718,0,0,0,0,0,3,
721,0,0,0,0,0,3,
721,0,0,0,0,0,3,
721,0,0,0,0,0,3,
721,0,0,0,0,0,3,
640,100,0,0,0,0,3,
640,100,0,0,0,0,3,
640,100,0,0,0,0,3,
640,100,0,0,0,0,3,
640,100,0,0,0,0,3,
640,100,0,0,0,0,3,
699,100,0,0,0,0,3,
701,100,0,0,0,0,3,
705,100,0,0,0,0,3,
709,100,0,0,0,0,3,
712,100,0,0,0,0,3,
714,100,0,0,0,0,3,
714,100,0,0,0,0,3,
715,100,0,0,0,0,3,
715,100,0,0,0,0,3,
716,100,0,0,0,0,3,
715,100,0,0,0,0,3,
714,100,0,0,0,0,3,
712,100,0,0,0,0,3,
711,100,0,0,0,0,3,
709,100,0,0,0,0,3,
706,100,0,0,0,0,3,
703,100,0,0,0,0,3,
699,100,0,0,0,0,3,
696,100,0,0,0,0,3,
692,100,0,0,0,0,3,
690,100,0,0,0,0,3,
689,100,0,0,0,0,3,
687,100,0,0,0,0,3,
684,100,0,0,0,0,3,
682,100,0,0,0,0,3,
680,100,0,0,0,0,3,
679,100,0,0,0,0,3,
679,100,0,0,0,0,3,
678,100,0,0,0,0,3,
677,100,0,0,0,0,3,
676,100,0,0,0,0,3,
675,100,0,0,0,0,3,
674,100,0,0,0,0,3,
674,100,0,0,0,0,3,
674,100,0,0,0,0,3,
673,100,0,0,0,0,3,
674,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
672,100,0,0,0,0,3,
672,100,0,0,0,0,3,
671,100,0,0,0,0,3,
671,100,0,0,0,0,3,
671,100,0,0,0,0,3,
672,100,0,0,0,0,3,
672,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
674,100,0,0,0,0,3,
674,100,0,0,0,0,3,
675,100,0,0,0,0,3,
676,100,0,0,0,0,3,
676,100,0,0,0,0,3,
676,100,0,0,0,0,3,
676,100,0,0,0,0,3,
676,100,0,0,0,0,3,
675,100,0,0,0,0,3,
675,100,0,0,0,0,3,
675,100,0,0,0,0,3,
674,100,0,0,0,0,3,
674,100,0,0,0,0,3,
673,100,0,0,0,0,3,
672,100,0,0,0,0,3,
672,100,0,0,0,0,3,
671,100,0,0,0,0,3,
671,100,0,0,0,0,3,
671,100,0,0,0,0,3,
672,100,0,0,0,0,3,
672,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
674,100,0,0,0,0,3,
674,100,0,0,0,0,3,
674,100,0,0,0,0,3,
674,100,0,0,0,0,3,
674,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
671,100,0,0,0,0,3,
671,100,0,0,0,0,3,
672,100,0,0,0,0,3,
673,100,0,0,0,0,3,
672,100,0,0,0,0,3,
672,100,0,0,0,0,3,
671,100,0,0,0,0,3,
671,100,0,0,0,0,3,
671,100,0,0,0,0,3,
671,100,0,0,0,0,3,
671,100,0,0,0,0,3,
671,100,0,0,0,0,3,
672,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
673,100,0,0,0,0,3,
672,100,0,0,0,0,3,
672,100,0,0,0,0,3,
671,100,0,0,0,0,3,
670,100,0,0,0,0,3,
670,100,0,0,0,0,3,
669,100,0,0,0,0,3,
668,100,0,0,0,0,3,
668,100,0,0,0,0,3,
668,100,0,0,0,0,3,
667,100,0,0,0,0,3,
667,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
667,100,0,0,0,0,3,
667,100,0,0,0,0,3,
667,100,0,0,0,0,3,
667,100,0,0,0,0,3,
667,100,0,0,0,0,3,
667,100,0,0,0,0,3,
668,100,0,0,0,0,3,
668,100,0,0,0,0,3,
668,100,0,0,0,0,3,
668,100,0,0,0,0,3,
667,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
666,100,0,0,0,0,3,
665,100,0,0,0,0,3,
665,100,0,0,0,0,3,
664,100,0,0,0,0,3,
664,100,0,0,0,0,3,
664,100,0,0,0,0,3,
664,100,0,0,0,0,3,
664,100,0,0,0,0,3,
664,100,0,0,0,0,3,
664,100,0,0,0,0,3,
665,100,0,0,0,0,3,
665,100,0,0,0,0,3,
664,100,0,0,0,0,3,
664,100,0,0,0,0,3,
664,100,0,0,0,0,3,
664,100,0,0,0,0,3,
663,100,0,0,0,0,3,
663,100,0,0,0,0,3,
663,100,0,0,0,0,3,
663,100,0,0,0,0,3,
662,100,0,0,0,0,3,
662,100,0,0,0,0,3,
663,100,0,0,0,0,3,
662,100,0,0,0,0,3,
661,100,0,0,0,0,3,
661,100,0,0,0,0,3,
660,100,0,0,0,0,3,
660,100,0,0,0,0,3,
660,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
658,100,0,0,0,0,3,
658,100,0,0,0,0,3,
658,100,0,0,0,0,3,
657,100,0,0,0,0,3,
659,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
659,100,0,0,0,0,3,
721,100,0,0,0,0,3,
717,100,0,0,0,0,3,
717,100,0,0,0,0,3,
717,100,0,0,0,0,3,
717,100,0,0,0,0,3,
717,100,0,0,0,0,3,
704,100,0,0,0,0,3,
704,100,0,0,0,0,3,
704,100,0,0,0,0,3,
717,100,0,0,0,0,3,
704,100,0,0,0,0,3,
691,100,0,0,0,0,3,
691,100,0,0,0,0,3,
691,100,0,0,0,0,3,
717,100,0,0,0,0,3,
691,100,0,0,0,0,3,
678,100,990,24,0,0,3,
678,100,990,24,0,0,3,
