0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Wr report period 25 0
Ver: 0 32 9 23
rd algo size: 0 20 
rd algo size: 0 52 
rd algo size: 4 0 
rd algo size: 4 0 
algo only 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 36
1.32 who accel 0 1b
hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
699,0,0,0,0,0,3,
700,0,0,0,0,0,3,
704,0,0,0,0,0,3,
714,0,0,0,0,0,3,
731,100,0,0,0,0,3,
726,100,0,0,0,0,3,
711,100,0,0,0,0,3,
698,100,0,0,0,0,3,
705,100,0,0,0,0,3,
706,100,0,0,0,0,3,
707,100,0,0,0,0,3,
706,100,0,0,0,0,3,
710,100,0,0,0,0,3,
694,100,0,0,0,0,3,
681,100,987,24,0,0,3,
671,100,991,26,0,0,3,
666,100,994,27,0,0,3,
674,100,996,21,0,0,3,
690,100,997,17,0,0,3,
705,75,997,16,0,0,3,
715,50,998,16,0,0,3,
715,50,998,20,0,0,3,
710,50,998,27,0,0,3,
695,50,998,38,0,0,3,
677,25,999,44,0,0,3,
661,25,999,49,0,0,3,
650,25,999,53,0,0,3,
642,25,999,58,0,0,3,
635,25,999,62,0,0,3,
628,25,999,65,0,0,3,
623,25,999,68,0,0,3,
619,25,999,71,0,0,3,
616,25,999,74,0,0,3,
613,25,999,77,0,0,3,
610,50,999,79,0,0,3,
609,50,999,81,0,0,3,
609,50,999,82,0,0,3,
607,50,999,84,0,0,3,
605,50,999,85,0,0,3,
602,50,999,86,0,0,3,
600,75,999,87,0,0,3,
598,75,999,88,0,0,3,
596,75,999,89,0,0,3,
595,75,999,90,0,0,3,
595,75,999,91,0,0,3,
594,75,999,91,0,0,3,
594,75,999,92,0,0,3,
594,100,999,93,0,0,3,
594,100,999,93,0,0,3,
593,100,999,94,0,0,3,
593,100,999,94,0,0,3,
592,100,999,95,0,0,3,
592,100,999,95,0,0,3,
592,100,999,94,0,0,3,
593,100,999,94,0,0,3,
596,100,999,94,0,0,3,
598,100,999,94,0,0,3,
601,100,999,95,0,0,3,
603,100,999,95,0,0,3,
605,100,999,95,0,0,3,
609,100,999,93,0,0,3,
613,100,999,91,0,0,3,
616,100,999,89,0,0,3,
618,100,999,87,0,0,3,
621,100,999,85,0,0,3,
624,100,999,85,0,0,3,
624,100,999,85,0,0,3,
623,100,999,86,0,0,3,
622,100,999,87,0,0,3,
622,100,999,85,0,0,3,
624,100,999,84,0,0,3,
627,100,999,82,0,0,3,
630,100,999,81,0,0,3,
631,100,999,80,0,0,3,
630,100,999,81,0,0,3,
628,100,999,82,0,0,3,
625,100,999,82,0,0,3,
623,100,999,83,0,0,3,
620,100,999,84,0,0,3,
618,100,999,84,0,0,3,
616,100,999,85,0,0,3,
614,100,999,86,0,0,3,
614,100,999,87,0,0,3,
615,100,999,88,0,0,3,
618,100,999,88,0,0,3,
620,100,999,88,0,0,3,
621,100,999,87,0,0,3,
622,100,999,87,0,0,3,
621,100,999,86,0,0,3,
619,100,999,85,0,0,3,
619,100,999,84,0,0,3,
621,100,999,87,0,0,3,
622,100,999,87,0,0,3,
621,100,999,86,0,0,3,
619,100,999,85,0,0,3,
619,100,999,84,0,0,3,
621,100,999,84,0,0,3,
622,100,999,85,0,0,3,
623,100,999,85,0,0,3,
624,100,999,87,0,0,3,
626,100,999,88,0,0,3,
626,100,999,89,0,0,3,
626,100,999,89,0,0,3,
626,100,999,90,0,0,3,
627,100,999,91,0,0,3,
629,100,999,92,0,0,3,
631,100,999,92,0,0,3,
632,100,999,93,0,0,3,
631,100,999,93,0,0,3,
630,100,999,94,0,0,3,
629,100,999,94,0,0,3,
628,100,999,95,0,0,3,
628,100,999,95,0,0,3,
629,100,999,96,0,0,3,
628,100,999,96,0,0,3,
627,100,999,96,0,0,3,
