0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 32 9 23
rd algo size: 0 20 
rd algo size: 0 52 
rd algo size: 4 0 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 36
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
140414,140410,2348,0,14,1,1006,600,0,0,0,0,0,2,
272175,272881,2363,0,13,2,1004,600,0,0,0,0,0,2,
320148,402932,2367,0,18,2,1005,600,0,0,0,0,0,2,
320150,446859,2370,0,16,2,1002,600,0,0,0,0,0,2,
320314,446956,2371,0,16,0,1005,600,0,0,0,0,0,2,
320449,446980,2369,0,15,0,1008,600,0,0,0,0,0,2,
320464,446966,2376,0,14,0,1000,600,0,0,0,0,0,2,
320584,446986,2379,0,17,2,1007,600,0,0,0,0,0,2,
320570,446939,2382,0,18,2,1006,600,0,0,0,0,0,2,
320257,446725,2377,0,17,2,1003,600,0,0,0,0,0,2,
319471,446219,2358,0,14,2,1003,700,0,0,0,0,0,2,
319028,445908,2352,0,17,2,1007,700,0,0,0,0,0,2,
398822,445790,2349,0,15,1,1006,700,0,0,0,0,0,2,
431182,445887,2345,0,16,2,1004,700,0,0,0,0,0,2,
431334,445955,2347,0,16,1,1008,700,0,0,0,0,0,2,
431584,445998,2349,0,15,1,1007,700,0,0,0,0,0,2,
431780,446031,2347,0,15,1,1004,700,0,0,0,0,0,2,
431787,445966,2353,0,16,2,1005,700,0,0,0,0,0,2,
431888,446000,2353,0,16,1,1007,700,0,0,0,0,0,2,
431949,445988,2351,0,16,1,1006,700,0,0,0,0,0,2,
432170,446068,2349,0,16,1,1006,700,0,0,0,0,0,2,
432441,446181,2346,0,16,1,1006,700,0,0,0,0,0,2,
432657,446229,2348,0,16,1,1006,700,0,0,0,0,0,2,
432789,446224,2349,0,16,1,1006,700,0,0,0,0,0,2,
432867,446252,2349,0,16,1,1006,700,0,0,0,0,0,2,
433009,446253,2352,0,16,1,1006,700,0,0,0,0,0,2,
433119,446286,2350,0,16,4,1006,700,0,0,0,0,0,2,
433278,446336,2351,0,15,3,1003,700,0,0,0,0,0,2,
433393,446360,2354,0,16,3,1006,700,0,0,0,0,0,2,
433383,446290,2357,0,16,3,1005,700,0,0,0,0,0,2,
433402,446267,2358,0,17,2,1006,700,0,0,0,0,0,2,
433441,446266,2358,0,15,3,1006,700,0,0,0,0,0,2,
432889,445970,2346,0,15,2,1006,700,0,0,0,0,0,2,
431630,445354,2332,0,14,3,1005,700,0,0,0,0,0,2,
431083,445102,2325,0,15,1,1007,700,0,0,0,0,0,2,
431149,445121,2326,0,14,3,1003,700,0,0,0,0,0,2,
431422,445260,2328,0,15,4,1005,700,0,0,0,0,0,2,
431617,445330,2327,0,16,3,1004,700,0,0,0,0,0,2,
432007,445488,2332,0,15,3,1007,700,0,0,0,0,0,2,
432438,445683,2340,0,13,4,1007,700,0,0,0,0,0,2,
432828,445801,2345,0,15,2,1007,700,0,0,0,0,0,2,
432898,445789,2348,0,13,3,1006,700,0,0,0,0,0,2,
432861,445723,2351,0,14,4,1004,700,0,0,0,0,0,2,
432848,445641,2354,0,14,4,1006,700,0,0,0,0,0,2,
432850,445604,2358,0,15,2,1005,700,0,0,0,0,0,2,
432900,445555,2361,0,15,4,1008,700,0,0,0,0,0,2,
432849,445501,2364,0,15,3,1009,700,0,0,0,0,0,2,
432903,445468,2364,0,14,2,1004,700,0,0,0,0,0,2,
432954,445471,2365,0,14,4,1006,700,0,0,0,0,0,2,
433152,445555,2368,0,14,3,1005,700,0,0,0,0,0,2,
433140,445492,2373,0,15,5,1006,700,0,0,0,0,0,2,
433074,445444,2377,0,13,5,1005,700,0,0,0,0,0,2,
433127,445456,2382,0,14,4,1007,700,0,0,0,0,0,2,
433225,445468,2382,0,13,2,1003,700,0,0,0,0,0,2,
433171,445396,2388,0,14,4,1005,700,0,0,0,0,0,2,
432898,445246,2384,0,13,3,1004,700,0,0,0,0,0,2,
431852,444785,2368,0,15,2,1005,700,0,0,0,0,0,2,
431357,444541,2362,0,12,3,1005,700,0,0,0,0,0,2,
431339,444527,2358,0,12,3,1004,700,0,0,0,0,0,2,
431531,444611,2360,0,14,3,1003,700,0,0,0,0,0,2,
431531,444611,2360,0,14,3,1003,700,0,0,0,0,0,2,
431693,444657,2363,0,15,5,1005,700,0,0,0,0,0,2,
431871,444706,2367,0,14,3,1007,700,0,0,0,0,0,2,
432212,444847,2374,0,13,2,1006,700,0,0,0,0,0,2,
432561,444977,2379,0,14,1,1004,700,0,0,0,0,0,2,
432673,444994,2379,0,13,2,1006,700,0,0,0,0,0,2,
432739,444978,2383,0,13,2,1006,700,0,0,0,0,0,2,
432788,444964,2386,0,14,3,1006,700,0,0,0,0,0,2,
432839,444959,2390,0,14,4,1007,700,0,0,0,0,0,2,
432940,444971,2392,0,14,4,1007,700,0,0,0,0,0,2,
433002,444957,2390,0,12,5,1004,700,0,0,0,0,0,2,
433170,445008,2392,0,15,4,1007,700,0,0,0,0,0,2,
433170,445008,2392,0,15,4,1007,700,0,0,0,0,0,2,
433187,445001,2394,0,14,3,1006,700,0,0,0,0,0,2,
433174,444920,2396,0,14,4,1005,700,0,0,0,0,0,2,
433180,444874,2394,0,13,5,1007,700,0,0,0,0,0,2,
433123,444798,2392,0,14,4,1008,700,0,0,0,0,0,2,
432991,444698,2391,0,13,5,1006,700,0,0,0,0,0,2,
432809,444578,2395,0,15,7,1008,700,0,0,0,0,0,2,
432719,444507,2396,0,14,5,1009,700,0,0,0,0,0,2,
432575,444447,2391,0,13,3,1007,700,0,0,0,0,0,2,
431759,444097,2370,0,12,3,1004,700,0,0,0,0,0,2,
430953,443769,2349,0,12,4,1006,700,0,0,0,0,0,2,
430652,443609,2345,0,12,4,1006,700,0,0,0,0,0,2,
430643,443604,2341,0,13,4,1003,700,0,0,0,0,0,2,
430760,443649,2336,0,13,4,1007,700,0,0,0,0,0,2,
430919,443737,2334,0,12,3,1004,700,0,0,0,0,0,2,
431169,443831,2334,0,11,4,1006,700,0,0,0,0,0,2,
431260,443828,2338,0,10,5,1004,700,0,0,0,0,0,2,
431087,443728,2338,0,11,4,1005,700,0,0,0,0,0,2,
431140,443728,2340,0,13,6,1008,700,0,0,0,0,0,2,
431143,443698,2340,0,13,5,1007,699,0,0,0,0,0,3,
431177,443703,2340,0,13,3,1006,699,0,0,0,0,0,3,
431326,443777,2341,0,12,4,1006,699,0,0,0,0,0,3,
431485,443832,2345,0,12,4,1006,699,0,0,0,0,0,3,
431673,443920,2348,0,12,6,1005,699,0,0,0,0,0,3,
431788,443947,2351,0,13,4,1004,699,0,0,0,0,0,3,
431858,443934,2352,0,11,5,1006,699,0,0,0,0,0,3,
432003,444035,2348,0,12,5,1007,699,0,0,0,0,0,3,
432187,444079,2353,0,11,6,1006,699,0,0,0,0,0,3,
432275,444109,2356,0,12,6,1004,699,0,0,0,0,0,3,
432382,444138,2358,0,13,5,1003,699,0,0,0,0,0,3,
432548,444211,2360,0,12,5,1008,699,0,0,0,0,0,3,
432635,444244,2356,0,14,4,1009,699,0,0,0,0,0,3,
432191,444020,2351,0,12,5,1007,699,0,0,0,0,0,3,
431205,443582,2335,0,13,5,1007,699,0,0,0,0,0,3,
430857,443419,2328,0,14,5,1006,699,0,0,0,0,0,3,
430959,443465,2329,0,12,6,1006,699,0,0,0,0,0,3,
